goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkLockContext_FastPath-10     	328134788	         4.359 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	353362483	         3.446 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	345572934	         3.619 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	339219578	         3.613 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	347491143	         3.475 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	334207494	         3.497 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6390092	       186.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6526472	       185.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6568300	       185.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6532644	       183.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6538758	       184.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6466342	       184.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14077002	        85.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14054443	        85.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	13907688	        85.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14042354	        85.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14086986	        85.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14067939	        85.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	708594811	         1.926 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	708259708	         2.304 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	702552288	         1.791 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	701026200	         1.736 ns/op	       0 B/op	       0 allocs/op
