goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexUncontended/stdlib-10         	684231945	         1.718 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10         	708555063	         1.773 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10         	691891225	         1.725 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10         	643195104	         1.710 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10         	669340776	         1.871 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10         	702564800	         1.932 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10         	348696394	         3.634 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10         	344012943	         3.907 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10         	350886169	         5.359 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10         	332133960	         3.632 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10         	352259323	         3.455 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10         	356678961	         3.466 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10    	352582501	         4.024 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10    	260310862	         4.105 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10    	355715494	         3.739 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10    	346757252	         3.571 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10    	341228385	         3.988 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10    	326249415	         3.629 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10         	673446022	         1.742 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10         	687071904	         1.720 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10         	705766108	         1.736 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10         	705111914	         1.828 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10         	673502401	         1.827 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10         	703493919	         1.709 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                    	 9810978	       118.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                    	 9718191	       125.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                    	 9820549	       114.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                    	 9504228	       114.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                    	12199767	       123.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                    	 9432553	       122.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                    	 7641733	       157.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                    	 7589640	       165.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                    	 7618419	       157.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                    	 7534808	       157.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                    	 7570555	       157.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                    	 7600207	       157.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/semaphoreMu-10               	 5003560	       244.9 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10               	 5004355	       240.4 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10               	 4902579	       241.1 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10               	 5006040	       243.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10               	 4940179	       252.7 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10               	 4913684	       244.7 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/native-10                    	10998822	       108.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                    	20134096	        62.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                    	12667687	       112.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                    	10367148	       101.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                    	12577022	       111.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                    	10865119	       110.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10               	10345927	       114.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10               	10331023	       113.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10               	10480051	       105.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10               	 9959920	       109.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10               	13587283	       113.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10               	 9759456	       119.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10               	 7009244	       173.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10               	 7022892	       174.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10               	 6887217	       170.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10               	 7098452	       185.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10               	 6662716	       178.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10               	 6298983	       184.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/semaphoreMu-10          	 4291491	       284.2 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10          	 3684337	       292.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10          	 4614535	       260.3 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10          	 4655028	       259.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10          	 4545639	       399.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10          	 3816914	       284.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/native-10               	10947489	       109.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10               	10759066	       105.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10               	10781598	       109.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10               	10837570	       104.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10               	13820677	       108.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10               	10749793	       110.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                	 9179404	       134.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                	 8827791	       132.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                	 9240320	       130.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                	 9132260	       132.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                	 9068846	       135.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                	 8878322	       116.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                	 5596264	       198.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                	 5885605	       200.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                	 5761752	       196.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                	 6268743	       190.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                	 6283747	       192.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/fifomu-10                	 6261732	       204.9 ns/op	       0 B/op	       0 allocs/op
