goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexUncontended/stdlib-10         	569898550	         1.763 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10         	703841040	         1.770 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10         	697020118	         1.716 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10         	701137814	         1.776 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10         	348278403	         3.606 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10         	335373248	         3.478 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10         	347481794	         3.436 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10         	340184511	         3.468 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10    	229986740	         5.014 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10    	351590311	         3.454 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10    	348819295	         3.618 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10    	351019260	         3.498 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10         	620900008	         2.190 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10         	694618802	         1.748 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10         	731879875	         1.780 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10         	728117970	         1.689 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                    	 9927361	       120.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                    	10002478	       123.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                    	 9811419	       119.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                    	10961752	       119.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                    	 7564210	       158.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                    	 7597558	       157.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                    	 7582370	       158.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                    	 7514647	       158.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/semaphoreMu-10               	 4979577	       241.5 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10               	 5013219	       240.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10               	 4984617	       243.5 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10               	 4986813	       241.1 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/native-10                    	 8718664	       140.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                    	 8889705	       119.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                    	10224476	       143.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                    	 9839115	       136.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10               	10930856	       111.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10               	11841963	       107.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10               	10739872	       112.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10               	11401555	       109.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10               	 7002398	       167.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10               	 7045483	       170.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10               	 6972289	       173.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10               	 7042520	       174.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/semaphoreMu-10          	 4249714	       256.4 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10          	 4845064	       248.3 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10          	 4733757	       256.4 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10          	 4915966	       245.8 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/native-10               	 2792583	       432.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10               	 3772156	       418.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10               	 2867420	       377.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10               	 2853712	       438.1 ns/op	       0 B/op	       0 allocs/op
