goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkMutexUncontended/stdlib-10         	632759265	         1.779 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10         	675373194	         1.771 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10         	679932430	         1.789 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10         	676663272	         1.781 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10         	335025404	         3.579 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10         	343521980	         3.983 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10         	341928764	         4.220 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10         	339389150	         3.519 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10    	343380552	         3.626 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10    	342481309	         3.670 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10    	297140302	         3.947 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10    	340758556	         3.747 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10         	680731006	         1.778 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10         	685945872	         1.793 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10         	692831310	         1.736 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10         	617855774	         1.862 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                    	 9594684	       125.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                    	 9573232	       125.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                    	 9890935	       126.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                    	 9613561	       119.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                    	 7218956	       165.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                    	 7227156	       166.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                    	 7295266	       167.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                    	 7172338	       166.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/semaphoreMu-10               	 4905686	       248.7 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10               	 4767160	       249.2 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10               	 4868449	       256.9 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10               	 4817224	       247.1 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/native-10                    	 9279444	       121.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                    	10536655	       126.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                    	 9744223	       128.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                    	 9102873	       116.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10               	10850289	       110.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10               	10210531	       110.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10               	11030822	       117.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10               	10813216	       106.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10               	 6379914	       179.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10               	 6821568	       177.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10               	 6785635	       177.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10               	 6649564	       178.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/semaphoreMu-10          	 4568245	       270.2 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10          	 3766344	       276.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10          	 4149260	       275.4 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10          	 4349031	       271.3 ns/op	     175 B/op	       2 allocs/op
