goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkLockContext_FastPath-10     	371708108	         3.355 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	367910019	         3.266 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	359350249	         3.339 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	367438610	         3.262 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	367652737	         3.287 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	361079626	         3.246 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6400293	       185.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6626546	       183.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6576838	       183.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6545511	       181.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6502636	       182.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6498063	       183.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14100739	        85.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14085188	        85.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14052303	        86.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14109174	        85.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	13929684	        85.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14087606	        85.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	743940759	         1.647 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	687011430	         1.657 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	736561585	         1.641 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	739820530	         1.651 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	749900403	         1.722 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	730794380	         1.692 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10  	365972626	         3.785 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10  	365850729	         3.284 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10  	355660189	         3.289 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10  	366142544	         4.054 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10  	364952727	         3.335 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10  	339436150	         3.377 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10         	371357169	         3.246 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10         	374353021	         3.242 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10         	371862074	         3.290 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10         	367915705	         3.364 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10         	368196420	         3.256 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10         	356783241	         3.274 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10              	736264452	         1.661 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10              	706073236	         1.634 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10              	748659240	         1.593 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10              	749685871	         1.602 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10              	754436638	         1.591 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10              	730020812	         1.591 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                         	 9800721	       123.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                         	 9890534	       124.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                         	 9742815	       124.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                         	 9741514	       121.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                         	 9841826	       125.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                         	 9538611	       120.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                         	 7409911	       161.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                         	 7382161	       162.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                         	 7462270	       160.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                         	 7439197	       161.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                         	 7419843	       162.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                         	 7447065	       162.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/semaphoreMu-10                    	 5154432	       233.9 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10                    	 5173629	       233.5 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10                    	 5125522	       233.8 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10                    	 5153679	       235.8 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10                    	 5137496	       235.9 ns/op	     176 B/op	       3 allocs/op
BenchmarkMutex/semaphoreMu-10                    	 4587691	       232.6 ns/op	     176 B/op	       3 allocs/op
BenchmarkMutex/native-10                         	 5376951	       215.3 ns/op	       7 B/op	       0 allocs/op
BenchmarkMutex/native-10                         	 5560066	       217.4 ns/op	       7 B/op	       0 allocs/op
BenchmarkMutex/native-10                         	 5438368	       217.6 ns/op	       7 B/op	       0 allocs/op
BenchmarkMutex/native-10                         	 5540352	       220.4 ns/op	       7 B/op	       0 allocs/op
BenchmarkMutex/native-10                         	 5366713	       217.9 ns/op	       7 B/op	       0 allocs/op
BenchmarkMutex/native-10                         	 5563396	       219.8 ns/op	       7 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10940520	       114.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10324041	       109.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10923070	       113.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10381857	       108.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10940515	       114.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10495003	       109.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 6668142	       170.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 6929241	       170.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 6924609	       172.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 7009633	       173.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 6952923	       171.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 6947289	       172.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4742314	       248.5 ns/op	     176 B/op	       3 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4635417	       251.9 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4784964	       250.7 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4825708	       249.2 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4763286	       248.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/semaphoreMu-10               	 4833697	       249.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutexSlack/native-10                    	 2720300	       402.9 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 3068071	       400.6 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 3040352	       394.9 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 2940982	       398.6 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 3060997	       400.5 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexSlack/native-10                    	 3066930	       401.6 ns/op	      14 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 8694496	       132.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9097317	       130.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9088011	       133.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexWork/stdlib-10                     	 9175273	       128.2 ns/op	       0 B/op	       0 allocs/op
