goos: darwin
goarch: arm64
pkg: github.com/neilotoole/fifomu
cpu: Apple M1 Max
BenchmarkLockContext_FastPath-10     	360675861	         3.292 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	368056432	         3.469 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	359584410	         3.447 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	361601032	         3.237 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	367876088	         3.261 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_FastPath-10     	355824752	         3.259 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6256558	       182.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6534201	       183.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6538327	       183.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6584401	       183.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6535644	       183.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Contended-10    	 6527776	       183.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14128221	        85.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14110252	        85.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	13823271	        85.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14063144	        85.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14027178	        86.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockContext_Cancel-10       	14115072	        85.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	740245912	         1.647 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	738592207	         1.626 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	736722872	         1.643 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	745231102	         1.629 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	711836128	         1.669 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/stdlib-10  	738873602	         1.666 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10  	370222918	         3.229 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10  	368844664	         3.215 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10  	371495222	         4.395 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10  	354384597	         3.310 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10  	366833652	         3.286 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/fifomu-10  	352955751	         3.370 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10         	361096875	         3.323 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10         	370922508	         3.327 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10         	370188274	         3.234 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10         	370791801	         3.416 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10         	363828337	         3.243 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/semaphoreMu-10         	371669204	         3.214 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10              	757082268	         1.640 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10              	762266535	         1.577 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10              	763095432	         1.614 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10              	748026298	         1.594 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10              	746494392	         1.608 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexUncontended/native-10              	753439729	         1.581 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                         	 9792826	       126.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                         	 9752314	       125.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                         	 9702417	       125.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                         	 9111596	       122.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                         	 9508471	       124.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/stdlib-10                         	 9794338	       123.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                         	 7408489	       161.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                         	 7382894	       163.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                         	 7357431	       163.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                         	 7387851	       163.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                         	 7372144	       162.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/fifomu-10                         	 7364065	       161.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/semaphoreMu-10                    	 5159870	       233.1 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10                    	 5084841	       233.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10                    	 5137111	       233.0 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10                    	 5171487	       231.4 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10                    	 5172940	       233.3 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/semaphoreMu-10                    	 5070423	       232.6 ns/op	     175 B/op	       2 allocs/op
BenchmarkMutex/native-10                         	 5051386	       203.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                         	 5178814	       225.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                         	 5778139	       223.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                         	 5024288	       241.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                         	 5245557	       220.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutex/native-10                         	 5190279	       229.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10214287	       108.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10690922	       117.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10263182	       109.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10890345	       117.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	 9942196	       107.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/stdlib-10                    	10955559	       115.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 6956319	       173.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 7003878	       170.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 6984534	       173.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 7008964	       175.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexSlack/fifomu-10                    	 6933630	       169.7 ns/op	       0 B/op	       0 allocs/op
